,ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount,symbol,return_5d,return_10d,return_20d,intraday_momentum,ma_20,ma_60,price_to_ma20,volatility_20d,volume_ma20,volume_ratio,rsi,macd,pred
9878,300751.SZ,2026-03-13,250.06,256.8,247.1,247.18,251.3,-4.12,-1.6395,57216.79,1436632.642,300751,-0.05483328234934226,-0.15294198279702542,-0.15985180653274866,-0.011517235863392768,278.139,245.56366666666665,-0.11130765552475563,0.035595510564911365,91795.671,0.6233059726069973,50,0,-0.9926404175707371
7682,300058.SZ,2026-03-13,15.66,15.71,14.93,14.98,15.66,-0.68,-4.3423,2817392.28,4282456.877,300058,-0.09267110841913995,-0.19027027027027021,-0.21693674856246725,-0.04342273307790547,17.669,15.8965,-0.15218744694097008,0.035291915842022875,4231679.322,0.6657858655182243,50,0,-0.9927014676378356
12440,600392.SH,2026-03-13,26.29,26.36,25.2,25.3,26.33,-1.03,-3.9119,617923.12,1588114.751,600392,-0.09156193895870735,-0.24635090854929997,0.03265306122448974,-0.037656903765690315,28.689500000000002,25.048166666666663,-0.1181442688091463,0.05003546577002703,1152931.8994999998,0.5359580390330249,50,0,-0.9927549099623701
13904,600580.SH,2026-03-13,40.9,41.24,40.38,40.47,41.24,-0.77,-1.8671,219431.65,894715.627,600580,-0.02646139042578788,-0.09826203208556161,-0.04731638418079087,-0.01051344743276283,42.902,44.33433333333333,-0.05668733392382641,0.020655804934970545,368808.7965,0.5949740138425637,50,0,-0.9929321895498359
2924,002156.SZ,2026-03-13,45.94,46.96,45.36,45.86,46.33,-0.47,-1.0145,485717.97,2240628.259,002156,-0.04318798247444189,-0.11824649105941165,-0.038977367979882604,-0.001741401828471883,48.549,45.07000000000001,-0.055387340624935666,0.024246147495992534,850020.6915000001,0.571418995856627,50,0,-0.9929972745152738
18269,688777.SH,2026-03-13,70.5,72.81,70.02,71.13,70.99,0.14,0.1972,158103.09,1127308.978,688777,-0.04202020202020207,-0.11309226932668337,-0.21731954225352113,0.008936170212765894,77.8685,67.30749999999999,-0.08653691800920782,0.02928274925631968,213020.91,0.742195167566311,50,0,-0.9930047356988786
1097,000831.SZ,2026-03-13,53.96,54.63,52.88,53.02,54.22,-1.2,-2.2132,257998.88,1383945.485,000831,-0.07791304347826078,-0.18405663281009543,0.03940403842383855,-0.017420311341734575,57.604,52.7,-0.07957780709672935,0.04424087919124305,507155.45599999995,0.5087175479285643,50,0,-0.993062817713812
7316,300017.SZ,2026-03-13,18.89,19.02,17.65,17.75,19.08,-1.33,-6.9706,3409477.33,6210692.175,300017,-0.0056022408963586345,-0.12128712871287128,-0.012242626599888617,-0.06034939121228166,19.508,14.473666666666668,-0.09011687512815247,0.053637894505013786,4615745.3405,0.7386623564512514,50,0,-0.9930703515502897
8048,300136.SZ,2026-03-13,66.52,66.95,63.92,64.13,67.05,-2.92,-4.355,585387.34,3813829.564,300136,-0.07380127094165223,-0.16268442355398882,-0.17591878694423024,-0.03592904389657247,72.945,67.00166666666667,-0.12084447186236202,0.035949641123812014,793093.443,0.7381063923291306,50,0,-0.993072111659222
6584,002837.SZ,2026-03-13,96.0,98.7,96.0,97.22,97.97,-0.75,-0.7655,224014.93,2184160.551,002837,-0.04027640671273447,-0.10396313364055298,-0.020650750478492963,0.012708333333333321,104.06700000000001,100.931,-0.0657941518444849,0.03904496269761267,432967.21349999995,0.5173946733378371,50,0,-0.9930798222142644
9512,300604.SZ,2026-03-13,123.59,128.1,122.51,124.2,124.59,-0.39,-0.313,140710.83,1755792.703,300604,-0.0368359829391236,-0.14048442906574388,-0.03157894736842104,0.004935674407314503,131.695,120.88533333333334,-0.056911803789058024,0.03418587472546807,207775.439,0.6772255213149988,50,0,-0.9931497013931667
2558,002131.SZ,2026-03-13,7.91,7.95,7.65,7.73,8.02,-0.29,-3.616,5441927.71,4224510.968,002131,-0.10841983852364467,-0.1973001038421599,-0.12358276643990929,-0.022756005056889975,8.666500000000001,7.502333333333334,-0.10805977038019965,0.04157438449628031,8075062.316,0.6739177354966757,50,0,-0.9933156327925524
365,000426.SZ,2026-03-13,48.58,49.46,46.88,46.9,48.77,-1.87,-3.8343,527803.71,2537810.879,000426,-0.06536468712634513,-0.1502083710817177,-0.06237504998000809,-0.034582132564841495,51.164500000000004,47.29083333333333,-0.08334880630124408,0.04625426534359324,731036.14,0.7219940042810743,50,0,-0.9934744842675999
8414,300223.SZ,2026-03-13,118.0,123.39,117.22,119.15,119.8,-0.65,-0.5426,167860.38,2019824.063,300223,-0.04320244117883232,-0.10548048048048031,-0.07153432556689787,0.009745762711864454,125.23299999999999,119.54766666666666,-0.04857345907228916,0.041960543282723535,232584.8205,0.721716832731923,50,0,-0.9936066853662213
15359,601168.SH,2026-03-13,30.28,31.35,29.9,30.02,30.55,-0.53,-1.7349,402880.46,1231714.466,601168,-0.04969927192149415,-0.13362193362193364,-0.05686459315111525,-0.00858652575957733,32.465,30.32,-0.07531187432619757,0.0309513020597857,506662.1585,0.7951658777612228,50,0,-0.9936076965385547
10244,300757.SZ,2026-03-13,374.43,388.02,373.09,387.85,378.37,9.48,2.5055,63519.2,2421520.225,300757,-0.01033426894615963,-0.060895883777239646,0.013721902770517547,0.03584114520738193,405.225,323.07800000000003,-0.04287741378246657,0.05052751765745134,98795.343,0.6429371877738268,50,0,-0.9936609468546632
16083,688002.SH,2026-03-13,105.38,107.19,103.53,103.6,106.72,-3.12,-2.9235,64116.17,672165.38,688002,-0.03385246666044961,-0.1130896327369233,-0.08294237408161464,-0.016891250711710014,111.63799999999999,105.161,-0.07200057328149911,0.02441420396751259,73243.25899999999,0.8753866344375274,50,0,-0.9936656323448553
9146,300450.SZ,2026-03-13,52.2,53.1,51.79,51.9,52.5,-0.6,-1.1429,497276.29,2607270.677,300450,0.03510171519744709,-0.0529197080291971,-0.0923399790136411,-0.005747126436781691,53.458000000000006,54.11033333333334,-0.029144375023382962,0.021264972746152622,474756.397,1.047434627804553,50,0,-0.9937443564223915
1829,000960.SZ,2026-03-13,38.15,38.76,36.68,36.89,38.28,-1.39,-3.6311,446500.0,1678857.769,000960,-0.08461538461538454,-0.1683949504057709,0.05369894315909751,-0.03302752293577976,39.467499999999994,35.54833333333333,-0.06530689808069912,0.05120232127086153,665448.7725,0.6709757661973752,50,0,-0.9938608584411883
4388,002340.SZ,2026-03-13,8.84,9.25,8.84,8.91,8.92,-0.01,-0.1121,2420366.97,2193206.831,002340,-0.01655629139072856,-0.10271903323262832,0.05319148936170204,0.007918552036199128,9.236999999999998,8.728333333333333,-0.035401104254627946,0.03392062882174422,2818361.606,0.8587851058000157,50,0,-0.9940426989919882
6218,002738.SZ,2026-03-13,77.26,80.3,76.02,76.86,76.65,0.21,0.274,244437.03,1910107.024,002738,-0.027949917794359402,-0.15538461538461534,-0.02868697080753191,-0.005177323323841647,83.114,81.15483333333331,-0.07524604759727604,0.03368195525589142,226766.15750000003,1.0779255277067554,50,0,-0.9941150295432206
14993,600988.SH,2026-03-13,41.82,42.56,40.87,40.91,42.35,-1.44,-3.4002,492386.89,2048831.391,600988,0.0242864296444667,0.024799599198396693,0.11077925604127059,-0.021759923481587846,39.839000000000006,36.39666666666666,0.02688320489972118,0.03255045076122038,715800.9874999999,0.6878823843381765,50,0,-0.9941682773893484
16815,688120.SH,2026-03-13,169.27,175.1,169.27,171.53,172.66,-1.13,-0.6545,40983.91,704006.612,688120,-0.03861674700145712,-0.11500361159839023,-0.053261949442543366,0.013351450345601647,182.2535,175.50383333333335,-0.058838376217740684,0.02139588930207917,41411.252,0.9896805339308069,50,0,-0.9942280591935176
12074,600352.SH,2026-03-13,15.3,15.68,14.9,14.94,15.41,-0.47,-3.05,795671.41,1212755.21,600352,-0.05681818181818188,-0.08846857840146438,0.061079545454545414,-0.023529411764705962,16.032,13.231833333333332,-0.06811377245508987,0.03538638212712244,1102466.5345,0.7217193312390587,50,0,-0.99423905302787
8780,300395.SZ,2026-03-13,112.0,115.19,108.01,113.9,112.79,1.11,0.9841,384864.66,4297356.985,300395,0.03273188865717658,-0.15202501488981524,0.26992975805552466,0.016964285714285765,110.0575,100.69033333333333,0.03491356790768463,0.06434522720693152,398088.863,0.9667807762568131,50,0,-0.9942435210770497
