股票池,年份,分组,交易次数,盈利次数,胜率,平均收益率
CSI300,2025,Top 1%,21,8,38.10%,0.30%
CSI300,2025,Top 3%,53,14,26.42%,-2.34%
CSI300,2025,Top 5%,42,15,35.71%,1.96%
CSI300,2025,Top 10%,0,0,0.00%,0.00%
CSI300,2026,Top 1%,9,2,22.22%,-2.01%
CSI300,2026,Top 3%,26,12,46.15%,3.05%
CSI300,2026,Top 5%,13,7,53.85%,0.55%
CSI300,2026,Top 10%,0,0,0.00%,0.00%
CSI500,2025,Top 1%,77,26,33.77%,2.02%
CSI500,2025,Top 3%,95,43,45.26%,11.55%
CSI500,2025,Top 5%,35,12,34.29%,0.95%
CSI500,2025,Top 10%,0,0,0.00%,0.00%
CSI500,2026,Top 1%,30,12,40.00%,2.17%
CSI500,2026,Top 3%,31,22,70.97%,14.04%
CSI500,2026,Top 5%,15,11,73.33%,12.96%
CSI500,2026,Top 10%,0,0,0.00%,0.00%
CSI1000,2025,Top 1%,155,45,29.03%,1.96%
CSI1000,2025,Top 3%,79,36,45.57%,4.78%
CSI1000,2025,Top 5%,10,2,20.00%,-3.97%
CSI1000,2025,Top 10%,0,0,0.00%,0.00%
CSI1000,2026,Top 1%,43,16,37.21%,0.15%
CSI1000,2026,Top 3%,17,10,58.82%,13.98%
CSI1000,2026,Top 5%,11,7,63.64%,2.50%
CSI1000,2026,Top 10%,0,0,0.00%,0.00%
