date,portfolio_value,cash,positions,market_regime,cum_return,max_drawdown
2026-01-05,200000.0,156884.30557092003,9,BULL,0.0,0.0
2026-01-06,200489.47637092002,152544.92764797003,10,BULL,0.002447381854600028,0.0
2026-01-07,201364.92304797002,134434.48734533,13,BULL,0.006824615239850118,0.0
2026-01-08,204650.22366033,118895.52137581001,15,BULL,0.023251118301649942,0.0
2026-01-09,208657.60067580998,106764.76544047002,17,BULL,0.04328800337904992,0.0
2026-01-12,213077.05384046998,100802.48009131002,18,BULL,0.06538526920234977,0.0
2026-01-13,204279.23189131005,77146.87713879,22,BULL,0.021396159456550157,-0.043989109745799615
2026-01-14,200067.44203879003,77146.87713879,22,BULL,0.0003372101939500549,-0.06504805900839972
2026-01-15,201389.21413879,60559.611251430004,24,BULL,0.006946070693949924,-0.05843919850839985
2026-01-16,198801.44465143004,44551.490255430006,26,BULL,-0.005992776742849815,-0.07137804594519959
2026-01-19,207463.26365543003,37597.74745824001,27,BULL,0.037316318277150096,-0.028068950925199676
2026-01-20,203435.75480351996,27222.623655240015,28,BULL,0.017178774017599707,-0.048206495184750064
2026-01-21,206874.22325524,14479.999014340015,29,BULL,0.03437111627620015,-0.03101415292614962
2026-01-22,215401.97681834002,10929.396121340014,30,BULL,0.07700988409170018,0.0
2026-01-23,233999.07852564004,3434.395897520013,30,BULL,0.1699953926282003,0.0
2026-01-26,224953.99389751998,3434.395897520013,30,BULL,0.12476996948759989,-0.04522542314060041
2026-01-27,227971.32829751997,3434.395897520013,30,BULL,0.1398566414875999,-0.030138751140600384
2026-01-28,228206.64286776,3423.503553200014,30,BULL,0.1410332143388,-0.028962178289400287
2026-01-29,225014.53385320006,3423.503553200014,30,BULL,0.12507266926600025,-0.044922723362200045
2026-01-30,220348.69053639995,7112.7703691600145,30,BULL,0.1017434526819998,-0.06825193994620049
2026-02-02,217635.46555851994,15458.826933680013,29,BULL,0.08817732779259968,-0.08181806483560061
2026-02-03,222161.92088888006,24015.44672938001,28,BULL,0.11080960444440024,-0.05918578818380005
2026-02-04,218502.95706083003,27447.63384505001,28,BULL,0.09251478530415014,-0.07748060732405015
2026-02-05,214110.17187145,24453.998767550016,28,BULL,0.07055085935724992,-0.09944453327095037
2026-02-06,222850.29266754998,13659.399358950017,29,BULL,0.11425146333774983,-0.05574392929045047
2026-02-09,225930.04775895,826.0740160000169,30,BULL,0.12965023879475002,-0.040345153833450276
2026-02-10,224668.22601600003,826.0740160000169,30,BULL,0.12334113008000025,-0.04665426254820004
2026-02-11,223751.05031672004,11743.954555760023,29,BULL,0.11875525158360012,-0.051240141044600174
2026-02-12,223089.13545836005,34424.13853756003,26,BULL,0.11544567729180022,-0.05454971533640007
2026-02-13,224420.84163756002,27301.305828610028,27,BULL,0.1221042081878001,-0.04789118444040019
2026-02-24,227089.9494306101,35148.55113061003,26,BULL,0.13544974715305047,-0.03454564547514982
2026-02-25,232405.46143611005,39886.14923611003,25,BULL,0.16202730718055025,-0.007968085447650042
2026-02-26,229839.9038551101,39452.61251451003,25,BULL,0.14919951927555064,-0.020795873352649652
2026-02-27,237314.02801451006,33126.81734511003,26,BULL,0.18657014007255035,0.0
2026-03-02,238181.83654511004,33126.81734511003,26,BULL,0.19090918272555024,0.0
2026-03-03,222426.52852831,51086.97761991003,24,BULL,0.1121326426415501,-0.07877654008400015
2026-03-04,229479.89451990998,43947.53642991003,25,BULL,0.14739947259955,-0.043509710126000245
2026-03-05,226943.16652991003,43947.53642991003,25,BULL,0.13471583264955012,-0.056193350076000126
2026-03-06,224243.53442861003,56287.47462861003,23,BULL,0.12121767214305024,-0.0696915105825
2026-03-09,226824.31238621002,60243.77232011002,23,BULL,0.13412156193105007,-0.05678762079450017
2026-03-10,227168.96002011004,48966.560771290024,25,BULL,0.1358448001005501,-0.05506438262500013
2026-03-11,225423.73867129002,33355.21877329003,27,BULL,0.1271186933564501,-0.06379048936910015
2026-03-12,224313.98624449005,31448.988028490032,27,BULL,0.1215699312224503,-0.06933925150309994
2026-03-13,221936.21154698997,35870.084385270035,27,BULL,0.10968105773494985,-0.08122812499060039
2026-03-16,217426.39803647003,29296.97795972004,28,BULL,0.08713199018235018,-0.10377719254320006
2026-03-17,212642.72266825,63809.68365845005,23,BULL,0.06321361334124997,-0.12769556938430027
2026-03-18,210695.75840598007,126543.52540598004,12,BEAR,0.05347879202990047,-0.13743039069564977
2026-03-19,210052.60916494002,137353.11262934003,9,BEAR,0.0502630458247002,-0.14064613690085004
