代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
300418,昆仑万维,互联网,20250102,37.17,20250107,36.56,100,-65.8,-1.64%,5,Rank 2.87%,"Rank 2.87%, Score 0.0324, BULL",BEAR rank exit (24.8%),BEAR rank exit (24.8%),BEAR,csi300
000963,华东医药,化学制药,20250102,33.19,20250107,31.65,100,-158.1,-4.64%,5,Rank 3.50%,"Rank 3.50%, Score 0.0292, BULL",BEAR rank exit (31.1%),BEAR rank exit (31.1%),BEAR,csi300
601456,国联民生,证券,20250102,12.31,20250108,11.29,400,-413.9,-8.29%,6,Rank 3.82%,"Rank 3.82%, Score 0.0280, BULL",BEAR Hard stop (-8.3%),BEAR Hard stop (-8.3%),BEAR,csi300
002180,纳思达,IT设备,20250102,26.39,20250108,26.1,100,-32.4,-1.10%,6,Rank 4.46%,"Rank 4.46%, Score 0.0264, BULL",BEAR rank exit (33.0%),BEAR rank exit (33.0%),BEAR,csi300
688303,大全能源,电气设备,20250102,24.07,20250110,21.6,200,-499.6,-10.26%,8,Rank 1.59%,"Rank 1.59%, Score 0.0425, BULL",BEAR Hard stop (-10.3%),BEAR Hard stop (-10.3%),BEAR,csi300
601698,中国卫通,电信运营,20250102,19.61,20250113,18.94,200,-138.9,-3.42%,11,Rank 2.23%,"Rank 2.23%, Score 0.0357, BULL",BEAR rank exit (33.4%),BEAR rank exit (33.4%),BEAR,csi300
301269,华大九天,半导体,20250108,108.45,20250113,108.11,100,-48.1,-0.31%,5,Rank 2.22%,"Rank 2.22%, Score 0.0281, BEAR",BEAR rank exit (25.8%),BEAR rank exit (25.8%),BEAR,csi300
300803,指南针,软件服务,20250108,86.31,20250114,94.7,200,1653.4,9.72%,6,Rank 1.90%,"Rank 1.90%, Score 0.0302, BEAR",BEAR rank exit (30.6%),BEAR rank exit (30.6%),BEAR,csi300
001289,龙源电力,新型电力,20250102,15.05,20250117,15.09,400,8.2,0.27%,15,Rank 0.64%,"Rank 0.64%, Score 0.4598, BULL",BEAR rank exit (22.1%),BEAR rank exit (22.1%),BEAR,csi300
601360,三六零,互联网,20250102,9.94,20250120,10.01,500,28.5,0.70%,18,Rank 1.91%,"Rank 1.91%, Score 0.0410, BULL",BEAR rank exit (20.5%),BEAR rank exit (20.5%),BEAR,csi300
688303,大全能源,电气设备,20250113,21.86,20250121,20.59,900,-1167.1,-5.81%,8,Rank 0.96%,"Rank 0.96%, Score 0.0601, BEAR",BEAR trailing stop (14.9%),BEAR trailing stop (14.9%),BEAR,csi300
688223,晶科能源,电气设备,20250114,6.54,20250122,6.2,3000,-1044.2,-5.20%,8,Rank 1.59%,"Rank 1.59%, Score 0.0274, BEAR",BEAR trailing stop (8.0%),BEAR trailing stop (8.0%),BEAR,csi300
300661,圣邦股份,半导体,20250120,86.02,20250127,84.41,200,-343.9,-1.87%,7,Rank 0.95%,"Rank 0.95%, Score 0.0255, BEAR",BEAR rank exit (49.8%),BEAR rank exit (49.8%),BEAR,csi300
603260,合盛硅业,化工原料,20250113,51.15,20250206,51.88,300,198.8,1.43%,24,Rank 1.27%,"Rank 1.27%, Score 0.0532, BEAR",BEAR rank exit (25.9%),BEAR rank exit (25.9%),BEAR,csi300
601865,福莱特,玻璃,20250127,19.14,20250207,21.69,1000,2517.0,13.29%,11,Rank 0.63%,"Rank 0.63%, Score 0.0283, BEAR",BEAR rank exit (69.0%),BEAR rank exit (69.0%),BEAR,csi300
000002,万科Ａ,全国地产,20250206,7.02,20250213,7.97,2800,2631.0,13.53%,7,Rank 0.95%,"Rank 0.95%, Score 0.0315, BEAR",BEAR rank exit (85.8%),BEAR rank exit (85.8%),BEAR,csi300
688303,大全能源,电气设备,20250121,20.59,20250218,20.79,900,155.7,0.97%,28,Rank 0.63%,"Rank 0.63%, Score 0.0986, BEAR",BEAR trailing stop (9.6%),BEAR trailing stop (9.6%),BEAR,csi300
300394,天孚通信,通信设备,20250213,91.3,20250218,97.7,200,1255.2,7.01%,5,Rank 0.63%,"Rank 0.63%, Score 0.0539, BEAR",BEAR rank exit (87.4%),BEAR rank exit (87.4%),BEAR,csi300
603833,欧派家居,家居用品,20250110,63.7,20250220,60.8,300,-893.7,-4.55%,41,Rank 0.96%,"Rank 0.96%, Score 0.0738, BEAR",BEAR trailing stop (8.1%),BEAR trailing stop (8.1%),BEAR,csi300
600010,包钢股份,普钢,20250227,1.86,20250310,1.86,1400,-3.4,0.00%,11,Rank 3.80%,"Rank 3.80%, Score 0.0208, BULL",BULL rank exit (52.7%),BULL rank exit (52.7%),BULL,csi300
601360,三六零,互联网,20250228,11.1,20250310,11.54,200,85.0,3.96%,10,Rank 2.22%,"Rank 2.22%, Score 0.0381, BULL",BULL rank exit (85.5%),BULL rank exit (85.5%),BULL,csi300
601059,信达证券,证券,20250228,15.84,20250310,16.17,100,31.0,2.09%,10,Rank 2.85%,"Rank 2.85%, Score 0.0259, BULL",BULL rank exit (62.8%),BULL rank exit (62.8%),BULL,csi300
