date,portfolio_value,cash,positions,market_regime,cum_return,max_drawdown
2018-01-02,200000.0,157406.22569999998,9,BULL,0.0,0.0
2018-01-03,200013.22569999998,124296.29569999997,15,BULL,6.612849999987347e-05,0.0
2018-01-04,199650.29569999996,87314.20439999997,21,BULL,-0.0017485215000001553,-0.0018146500000000287
2018-01-05,199875.20439999996,60082.03719999997,25,BULL,-0.0006239780000002471,-0.0006901065000001205
2018-01-08,200676.03719999996,44725.431599999974,27,BULL,0.003380185999999785,0.0
2018-01-09,200424.43159999998,17938.39789999997,30,BULL,0.0021221579999999296,-0.0012580279999998556
2018-01-10,197760.39889999997,8585.82939999997,30,BULL,-0.011198005500000163,-0.014578191499999948
2018-01-11,197757.8294,8585.82939999997,30,BULL,-0.01121085300000002,-0.014591038999999806
2018-01-12,197244.82939999996,8585.82939999997,30,BULL,-0.013775853000000171,-0.017156038999999956
2018-01-15,195049.13059999997,26603.931799999962,29,BULL,-0.02475434700000012,-0.028134532999999906
2018-01-16,197012.76849999995,9547.23299999996,30,BULL,-0.014936157500000213,-0.0183163435
2018-01-17,196824.17329999997,15729.94979999996,30,BULL,-0.015879133500000142,-0.019259319499999927
2018-01-18,197734.94979999994,15729.94979999996,30,BULL,-0.011325251000000258,-0.014705437000000043
2018-01-19,197086.09399999995,1947.07199999996,30,BULL,-0.014569530000000275,-0.01794971600000006
2018-01-22,198764.85539999994,2649.6337999999596,30,BULL,-0.006175723000000244,-0.009555909000000029
2018-01-23,197818.31669999997,768.6058999999605,30,BULL,-0.010908416500000184,-0.01428860249999997
2018-01-24,198029.78769999996,2180.4097999999613,30,BULL,-0.009851061500000258,-0.013231247500000043
2018-01-25,198203.27969999996,12278.366199999964,30,BULL,-0.008983601500000216,-0.0123637875
2018-01-26,196643.36619999996,12278.366199999964,30,BULL,-0.01678316900000021,-0.020163354999999994
2018-01-29,192997.77769999998,24285.958499999953,30,BULL,-0.035011111500000136,-0.03839129749999992
2018-01-30,194166.15329999995,14741.497299999952,30,BULL,-0.029169233500000225,-0.03254941950000001
2018-01-31,192215.22059999994,13774.719699999958,30,BULL,-0.03892389700000032,-0.0423040830000001
2018-02-01,186230.87589999996,30064.669399999948,30,BULL,-0.0688456205000002,-0.07222580649999999
2018-02-02,185241.28509999995,15527.459099999951,30,BULL,-0.07379357450000024,-0.07717376050000002
2018-02-05,185602.81329999995,15524.44279999995,30,BULL,-0.07198593350000027,-0.07536611950000005
2018-02-06,175991.67559999993,36975.11769999992,30,BULL,-0.12004162200000035,-0.12342180800000013
2018-02-07,174792.49499999994,19056.987299999935,30,BULL,-0.12603752500000032,-0.1294177110000001
2018-02-08,177302.62089999992,5494.316899999936,30,BULL,-0.11348689550000035,-0.11686708150000014
2018-02-09,171270.98089999994,8562.293999999936,30,BULL,-0.14364509550000026,-0.14702528150000005
2018-02-12,176398.02599999993,995.8517999999367,30,BULL,-0.1180098700000004,-0.12139005600000019
2018-02-13,177180.85179999995,995.8517999999367,30,BULL,-0.1140957410000003,-0.11747592700000009
2018-02-14,177740.29199999993,905.7535999999373,30,BULL,-0.11129854000000039,-0.11467872600000018
2018-02-22,181140.85839999994,15989.80799999994,30,BULL,-0.09429570800000031,-0.0976758940000001
2018-02-23,181323.02819999994,17249.083799999942,30,BULL,-0.09338485900000026,-0.09676504500000005
2018-02-26,186183.18489999993,9837.220499999941,30,BULL,-0.06908407550000029,-0.07246426150000007
2018-02-27,188560.56249999994,9584.496699999943,30,BULL,-0.057197187500000246,-0.06057737350000003
