代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,卖出信号,卖出原因,市场状态,股票池
603688,石英股份,矿物制品,20160104,21.53,20160107,18.94,200,-522.9,-12.03%,3,Top Rank,Hard stop (-12.0%),Hard stop (-12.0%),BULL,csi500
000967,盈峰环境,环境保护,20160104,24.42,20160107,22.02,200,-485.7,-9.83%,3,Top Rank,Hard stop (-9.8%),Hard stop (-9.8%),BULL,csi500
002487,大金重工,电气设备,20160104,12.78,20160107,11.34,400,-581.9,-11.27%,3,Top Rank,Hard stop (-11.3%),Hard stop (-11.3%),BULL,csi500
300395,菲利华,玻璃,20160104,44.01,20160107,37.76,100,-629.9,-14.20%,3,Top Rank,Hard stop (-14.2%),Hard stop (-14.2%),BULL,csi500
600529,山东药玻,医疗保健,20160104,17.58,20160107,16.16,300,-432.3,-8.08%,3,Top Rank,Hard stop (-8.1%),Hard stop (-8.1%),BULL,csi500
002738,中矿资源,小金属,20160104,31.95,20160107,28.83,100,-315.7,-9.77%,3,Top Rank,Hard stop (-9.8%),Hard stop (-9.8%),BULL,csi500
601567,三星医疗,电气设备,20160104,13.68,20160107,12.44,400,-502.5,-9.06%,3,Top Rank,Hard stop (-9.1%),Hard stop (-9.1%),BULL,csi500
002429,兆驰股份,家用电器,20160105,10.86,20160107,9.96,500,-456.5,-8.29%,2,Top Rank,Hard stop (-8.3%),Hard stop (-8.3%),BULL,csi500
603456,九洲药业,医疗保健,20160106,65.32,20160107,58.79,100,-660.6,-10.00%,1,Top Rank,Hard stop (-10.0%),Hard stop (-10.0%),BULL,csi500
002773,康弘药业,化学制药,20160106,73.2,20160107,65.94,100,-734.6,-9.92%,1,Top Rank,Hard stop (-9.9%),Hard stop (-9.9%),BULL,csi500
000060,中金岭南,铅锌,20160106,13.08,20160107,11.78,500,-657.7,-9.94%,1,Top Rank,Hard stop (-9.9%),Hard stop (-9.9%),BULL,csi500
300024,机器人,专用机械,20160106,61.3,20160107,55.21,100,-616.2,-9.93%,1,Top Rank,Hard stop (-9.9%),Hard stop (-9.9%),BULL,csi500
601555,东吴证券,证券,20160106,14.52,20160107,13.07,400,-586.8,-9.99%,1,Top Rank,Hard stop (-10.0%),Hard stop (-10.0%),BULL,csi500
000009,中国宝安,电气设备,20160106,15.96,20160107,14.36,300,-485.6,-10.03%,1,Top Rank,Hard stop (-10.0%),Hard stop (-10.0%),BULL,csi500
002472,双环传动,汽车配件,20160104,24.27,20160111,21.17,200,-625.5,-12.77%,7,Top Rank,Hard stop (-12.8%),Hard stop (-12.8%),BEAR,csi500
002532,天山铝业,铝,20160104,13.8,20160111,11.53,300,-685.5,-16.45%,7,Top Rank,Hard stop (-16.4%),Hard stop (-16.4%),BEAR,csi500
002032,苏泊尔,家用电器,20160104,26.17,20160111,24.3,100,-190.2,-7.15%,7,Top Rank,BEAR rank exit (55.3%),BEAR rank exit (55.3%),BEAR,csi500
601016,节能风电,新型电力,20160105,13.64,20160111,12.28,500,-688.0,-9.97%,6,Top Rank,Hard stop (-10.0%),Hard stop (-10.0%),BEAR,csi500
603568,伟明环保,环境保护,20160105,42.45,20160111,36.04,100,-645.7,-15.10%,6,Top Rank,Hard stop (-15.1%),Hard stop (-15.1%),BEAR,csi500
601918,新集能源,煤炭开采,20160105,7.99,20160111,7.46,800,-431.8,-6.63%,6,Top Rank,BEAR trailing stop (14.6%),BEAR trailing stop (14.6%),BEAR,csi500
603606,东方电缆,电气设备,20160105,14.99,20160111,12.55,400,-982.5,-16.28%,6,Top Rank,Hard stop (-16.3%),Hard stop (-16.3%),BEAR,csi500
001696,宗申动力,摩托车,20160105,11.78,20160111,9.83,500,-981.4,-16.55%,6,Top Rank,Hard stop (-16.6%),Hard stop (-16.6%),BEAR,csi500
002432,九安医疗,医疗保健,20160105,20.46,20160111,18.98,200,-300.9,-7.23%,6,Top Rank,BEAR trailing stop (10.8%),BEAR trailing stop (10.8%),BEAR,csi500
603338,浙江鼎力,工程机械,20160107,43.9,20160111,39.43,100,-452.1,-10.18%,4,Top Rank,Hard stop (-10.2%),Hard stop (-10.2%),BEAR,csi500
300432,富临精工,汽车配件,20160107,19.39,20160111,17.28,300,-639.7,-10.88%,4,Top Rank,Hard stop (-10.9%),Hard stop (-10.9%),BEAR,csi500
601567,三星医疗,电气设备,20160107,12.44,20160111,11.84,400,-246.2,-4.82%,4,Top Rank,BEAR trailing stop (8.9%),BEAR trailing stop (8.9%),BEAR,csi500
002429,兆驰股份,家用电器,20160107,9.96,20160111,8.82,500,-575.7,-11.45%,4,Top Rank,Hard stop (-11.4%),Hard stop (-11.4%),BEAR,csi500
