代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,卖出原因,市场状态,股票池
300017,网宿科技,软件服务,20250102,9.83,20250103,9.04,400,-320.7,-8.04%,1,Hard stop (-8.0%),BEAR,csi500
002131,利欧股份,互联网,20250102,3.11,20250106,2.84,1900,-520.0,-8.68%,4,Hard stop (-8.7%),BEAR,csi500
300383,光环新网,软件服务,20250102,13.49,20250106,12.31,300,-358.8,-8.75%,4,Hard stop (-8.7%),BEAR,csi500
300100,双林股份,汽车配件,20250102,28.38,20250106,25.81,100,-260.4,-9.06%,4,Hard stop (-9.1%),BEAR,csi500
688676,金盘科技,电气设备,20250102,38.75,20250107,42.12,100,331.5,8.70%,5,BEAR rank exit (52.3%),BEAR,csi500
000785,居然智家,百货,20250102,3.79,20250107,4.03,1400,328.7,6.33%,5,BEAR rank exit (97.3%),BEAR,csi500
002423,中粮资本,多元金融,20250102,12.97,20250107,12.55,200,-87.3,-3.24%,5,BEAR rank exit (42.2%),BEAR,csi500
600536,中国软件,软件服务,20250102,44.48,20250110,43.38,100,-115.6,-2.47%,8,BEAR rank exit (20.6%),BEAR,csi500
600895,张江高科,园区开发,20250102,25.55085303715578,20250110,24.669098108814715,100,-91.4,-3.45%,8,BEAR rank exit (26.0%),BEAR,csi500
002335,科华数据,电气设备,20250102,26.939999999999998,20250113,27.130000000000003,100,15.5,0.71%,11,BEAR trailing stop (9.7%),BEAR,csi500
300432,富临精工,汽车配件,20250102,14.43,20250113,15.16,200,142.1,5.06%,11,BEAR rank exit (20.2%),BEAR,csi500
600363,联创光电,元器件,20250102,46.8,20250121,46.02,100,-84.0,-1.67%,19,BEAR rank exit (40.5%),BEAR,csi500
300002,神州泰岳,互联网,20250102,11.18,20250122,11.87,400,269.8,6.17%,20,BEAR rank exit (25.4%),BEAR,csi500
000034,神州数码,软件服务,20250102,33.0,20250123,32.66,100,-38.2,-1.03%,21,BEAR rank exit (21.3%),BEAR,csi500
000988,华工科技,专用机械,20250102,40.93,20250205,38.04,100,-293.9,-7.06%,34,BEAR trailing stop (9.9%),BEAR,csi500
603228,景旺电子,元器件,20250123,36.6,20250205,30.92,500,-2860.1,-15.52%,13,Hard stop (-15.5%),BEAR,csi500
002583,海能达,通信设备,20250205,12.459999999999999,20250211,14.01,1500,2297.7,12.44%,6,BEAR rank exit (30.8%),BEAR,csi500
000066,中国长城,IT设备,20250102,13.95,20250220,15.35,300,414.0,10.04%,49,BEAR trailing stop (9.2%),BEAR,csi500
002261,拓维信息,软件服务,20250102,17.67,20250225,37.37,300,5895.4,111.49%,54,BEAR trailing stop (10.5%),BEAR,csi500
603228,景旺电子,元器件,20250205,30.92,20250228,33.34,600,1426.0,7.83%,23,BULL trailing stop (15.5%),BULL,csi500
002261,拓维信息,软件服务,20250225,37.37,20250228,33.5,500,-1956.8,-10.36%,3,Hard stop (-10.4%),BULL,csi500
300002,神州泰岳,互联网,20250226,14.68,20250228,13.49,300,-362.3,-8.11%,2,Hard stop (-8.1%),BULL,csi500
300383,光环新网,软件服务,20250226,22.05,20250228,19.44,100,-263.5,-11.84%,2,Hard stop (-11.8%),BULL,csi500
600602,云赛智联,软件服务,20250227,24.99,20250228,22.49,200,-505.8,-10.00%,1,Hard stop (-10.0%),BULL,csi500
000988,华工科技,专用机械,20250226,46.97,20250303,43.14,100,-388.6,-8.15%,5,Hard stop (-8.2%),BULL,csi500
002583,海能达,通信设备,20250226,14.14,20250303,12.93,200,-245.4,-8.56%,5,Hard stop (-8.6%),BULL,csi500
600839,四川长虹,家用电器,20250226,11.93,20250310,11.31,300,-190.4,-5.20%,12,BULL rank exit (90.4%),BULL,csi500
301236,软通动力,软件服务,20250228,64.11,20250310,67.5,100,330.2,5.29%,10,BULL rank exit (83.8%),BULL,csi500
300017,网宿科技,软件服务,20250228,12.86,20250310,13.040000000000001,700,114.1,1.40%,10,BULL rank exit (95.8%),BULL,csi500
000032,深桑达Ａ,建筑工程,20250228,26.33,20250311,24.68,300,-504.6,-6.27%,11,BULL rank exit (88.2%),BULL,csi500
300212,易华录,软件服务,20250228,27.2,20250312,28.2,400,385.3,3.68%,12,BULL rank exit (45.9%),BULL,csi500
601933,永辉超市,超市连锁,20250226,5.12,20250313,4.65,700,-333.2,-9.18%,15,Hard stop (-9.2%),BULL,csi500
300432,富临精工,汽车配件,20250311,23.55,20250313,21.55,800,-1622.4,-8.49%,2,Hard stop (-8.5%),BULL,csi500
002126,银轮股份,汽车配件,20250312,31.28,20250313,28.68,400,-1054.9,-8.31%,1,Hard stop (-8.3%),BULL,csi500
300748,金力永磁,矿物制品,20250220,22.69,20250320,20.67,900,-1842.2,-8.90%,28,Hard stop (-8.9%),BULL,csi500
688336,三生国健,生物制药,20250226,25.4,20250320,28.84,100,340.3,13.54%,22,BULL rank exit (43.7%),BULL,csi500
300735,光弘科技,元器件,20250227,35.27,20250320,32.17,300,-942.5,-8.79%,21,Hard stop (-8.8%),BULL,csi500
688709,成都华微,半导体,20250310,37.7,20250320,36.79,200,-191.6,-2.41%,10,BULL rank exit (53.0%),BULL,csi500
300207,欣旺达,电气设备,20250226,25.09,20250321,22.63,100,-248.9,-9.80%,23,Hard stop (-9.8%),BULL,csi500
002152,广电运通,IT设备,20250227,15.119999999999997,20250321,13.61,700,-1069.4,-9.99%,22,Hard stop (-10.0%),BULL,csi500
688777,中控技术,专用机械,20250227,58.77000000000001,20250321,53.64,100,-520.0,-8.73%,22,Hard stop (-8.7%),BULL,csi500
600895,张江高科,园区开发,20250310,27.705140646170868,20250321,25.320394362703002,200,-483.5,-8.61%,11,Hard stop (-8.6%),BULL,csi500
300735,光弘科技,元器件,20250320,32.17,20250321,29.08,300,-938.3,-9.61%,1,Hard stop (-9.6%),BULL,csi500
300623,捷捷微电,半导体,20250102,32.08,20250324,31.82,100,-30.1,-0.81%,81,BULL trailing stop (15.0%),BULL,csi500
002607,中公教育,文教休闲,20250226,3.66,20250324,3.32,1100,-378.7,-9.29%,26,Hard stop (-9.3%),BULL,csi500
002837,英维克,专用机械,20250211,41.28,20250325,41.12,400,-85.4,-0.39%,42,BULL trailing stop (18.9%),BULL,csi500
002625,光启技术,航空,20250226,43.75096263079222,20250325,39.2246533632287,100,-457.7,-10.35%,27,Hard stop (-10.3%),BULL,csi500
000021,深科技,元器件,20250226,21.13,20250325,19.27,100,-188.5,-8.80%,27,Hard stop (-8.8%),BULL,csi500
300570,太辰光,通信设备,20250303,83.21,20250325,83.22,200,-19.6,0.01%,22,BULL trailing stop (16.7%),BULL,csi500
300136,信维通信,元器件,20250320,26.77,20250325,24.52,200,-456.4,-8.40%,5,Hard stop (-8.4%),BULL,csi500
300604,长川科技,半导体,20250310,45.99,20250327,42.19,100,-385.5,-8.26%,17,Hard stop (-8.3%),BULL,csi500
300115,长盈精密,元器件,20250102,15.8,20250328,25.179999999999996,300,2804.2,59.37%,85,BULL trailing stop (15.1%),BULL,csi500
601933,永辉超市,超市连锁,20250313,4.65,20250328,4.51,1000,-145.9,-3.01%,15,BULL trailing stop (16.5%),BULL,csi500
300718,长盛轴承,机械基件,20250321,90.3432482373678,20250328,82.40953642773208,100,-804.1,-8.78%,7,Hard stop (-8.8%),BULL,csi500
601162,天风证券,证券,20250102,4.29,20250331,4.22,1300,-98.1,-1.63%,88,BULL trailing stop (15.8%),BULL,csi500
600157,永泰能源,火力发电,20250226,1.5799998226915422,20250331,1.4491718118954273,1900,-252.2,-8.28%,33,Hard stop (-8.3%),BULL,csi500
002583,海能达,通信设备,20250313,12.64,20250331,11.47,800,-947.9,-9.26%,18,Hard stop (-9.3%),BULL,csi500
002797,第一创业,证券,20250102,7.83,20250331,7.46,500,-189.8,-4.73%,88,Close all,END,csi500
002436,兴森科技,元器件,20250102,10.61,20250331,12.23,300,481.2,15.27%,88,Close all,END,csi500
600487,亨通光电,通信设备,20250226,16.7,20250331,16.64,200,-16.3,-0.36%,33,Close all,END,csi500
002008,大族激光,专用机械,20250226,28.87,20250331,27.980000000000004,100,-92.6,-3.08%,33,Close all,END,csi500
002517,恺英网络,互联网,20250226,16.0,20250331,16.06,200,7.8,0.37%,33,Close all,END,csi500
601099,太平洋,证券,20250226,4.17,20250331,3.85,700,-227.5,-7.67%,33,Close all,END,csi500
601216,君正集团,化工原料,20250226,5.94,20250331,5.49,400,-182.9,-7.58%,33,Close all,END,csi500
301200,大族数控,专用机械,20250228,39.91,20250331,40.1,100,13.8,0.48%,31,Close all,END,csi500
300002,神州泰岳,互联网,20250303,13.91,20250331,13.22,700,-495.0,-4.96%,28,Close all,END,csi500
603728,鸣志电器,电气设备,20250313,72.13,20250331,67.5,100,-471.8,-6.42%,18,Close all,END,csi500
600988,赤峰黄金,黄金,20250320,21.52,20250331,22.9,400,540.1,6.41%,11,Close all,END,csi500
000831,中国稀土,小金属,20250320,32.54,20250331,31.67,100,-91.1,-2.67%,11,Close all,END,csi500
002155,湖南黄金,黄金,20250321,23.97,20250331,22.87,300,-338.9,-4.59%,10,Close all,END,csi500
300735,光弘科技,元器件,20250321,29.08,20250331,27.69,200,-285.2,-4.78%,10,Close all,END,csi500
