代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
002025,航天电器,元器件,20260105,51.68,20260114,59.37,100,761.3,14.88%,9,Rank 2.02%,"Rank 2.02%, Score 0.0569, BULL",BULL trailing stop (16.1%),BULL trailing stop (16.1%),BULL,csi500
600879,航天电子,航空,20260105,21.75,20260115,26.78,200,999.0,23.13%,10,Rank 1.52%,"Rank 1.52%, Score 0.0651, BULL",BULL trailing stop (15.1%),BULL trailing stop (15.1%),BULL,csi500
300699,光威复材,化纤,20260105,39.09,20260115,39.32,100,17.9,0.59%,10,Rank 4.05%,"Rank 4.05%, Score 0.0501, BULL",BULL trailing stop (15.4%),BULL trailing stop (15.4%),BULL,csi500
688387,信科移动-U,通信设备,20260114,19.88,20260115,17.76,1100,-2357.4,-10.66%,1,Rank 0.84%,"Rank 0.84%, Score 0.0834, BULL",BULL Hard stop (-10.7%),BULL Hard stop (-10.7%),BULL,csi500
300058,蓝色光标,广告包装,20260106,13.66,20260116,16.29,300,782.6,19.25%,10,Rank 4.38%,"Rank 4.38%, Score 0.0509, BULL",BULL trailing stop (24.7%),BULL trailing stop (24.7%),BULL,csi500
002044,美年健康,医疗保健,20260105,5.46,20260119,7.21,1000,1740.6,32.05%,14,Rank 1.69%,"Rank 1.69%, Score 0.0611, BULL",BULL trailing stop (15.3%),BULL trailing stop (15.3%),BULL,csi500
000021,深科技,元器件,20260105,26.35,20260120,31.49,100,509.9,19.51%,15,Rank 3.37%,"Rank 3.37%, Score 0.0526, BULL",BULL rank exit (72.6%),BULL rank exit (72.6%),BULL,csi500
601611,中国核建,建筑工程,20260105,13.99,20260120,16.45,300,732.2,17.60%,15,Rank 3.54%,"Rank 3.54%, Score 0.0525, BULL",BULL trailing stop (17.6%),BULL trailing stop (17.6%),BULL,csi500
300118,东方日升,电气设备,20260105,14.46,20260121,16.25,400,707.6,12.38%,16,Rank 0.67%,"Rank 0.67%, Score 0.0796, BULL",BULL trailing stop (16.7%),BULL trailing stop (16.7%),BULL,csi500
688375,国博电子,元器件,20260115,135.39,20260121,122.77,100,-1278.0,-9.32%,6,Rank 0.85%,"Rank 0.85%, Score 0.1324, BULL",BULL Hard stop (-9.3%),BULL Hard stop (-9.3%),BULL,csi500
