代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
002945,华林证券,证券,20220105,13.0,20220113,12.65,400,-148.6,-2.69%,8,Rank 0.55%,"Rank 0.55%, Score 0.0328, BULL",BEAR rank exit (80.8%),BEAR rank exit (80.8%),BEAR,csi500
600021,上海电力,火力发电,20220105,12.7,20220113,12.4,200,-141.4,-2.36%,8,Rank 2.40%,"Rank 2.40%, Score 0.0162, BULL",BEAR rank exit (68.3%),BEAR rank exit (68.3%),BEAR,csi500
603858,步长制药,中成药,20220105,21.33,20220113,22.09,100,149.8,3.56%,8,Rank 2.58%,"Rank 2.58%, Score 0.0159, BULL",BEAR rank exit (41.1%),BEAR rank exit (41.1%),BEAR,csi500
600598,北大荒,种植业,20220105,15.3,20220113,14.78,100,-138.1,-3.40%,8,Rank 4.24%,"Rank 4.24%, Score 0.0130, BULL",BEAR rank exit (57.0%),BEAR rank exit (57.0%),BEAR,csi500
603885,吉祥航空,空运,20220105,17.6,20220114,16.5,100,-333.4,-6.25%,9,Rank 2.21%,"Rank 2.21%, Score 0.0166, BULL",BEAR rank exit (26.2%),BEAR rank exit (26.2%),BEAR,csi500
600096,云天化,农药化肥,20220106,18.75,20220114,19.31,100,132.0,2.99%,8,Rank 2.40%,"Rank 2.40%, Score 0.0199, BULL",BEAR rank exit (22.9%),BEAR rank exit (22.9%),BEAR,csi500
601865,福莱特,玻璃,20220107,50.95,20220117,50.16,100,-86.6,-1.55%,10,Rank 2.03%,"Rank 2.03%, Score 0.0237, BULL",BEAR rank exit (85.4%),BEAR rank exit (85.4%),BEAR,csi500
300748,金力永磁,矿物制品,20220107,40.58,20220118,37.9,100,-442.1,-6.60%,11,Rank 3.87%,"Rank 3.87%, Score 0.0162, BULL",BEAR rank exit (26.7%),BEAR rank exit (26.7%),BEAR,csi500
000629,钒钛股份,小金属,20220106,4.26,20220119,4.04,200,-350.9,-5.16%,13,Rank 1.11%,"Rank 1.11%, Score 0.0275, BULL",BEAR rank exit (39.3%),BEAR rank exit (39.3%),BEAR,csi500
000893,亚钾国际,农药化肥,20220111,24.97,20220119,24.51,100,-100.1,-1.84%,8,Rank 3.32%,"Rank 3.32%, Score 0.0218, BULL",BEAR rank exit (41.7%),BEAR rank exit (41.7%),BEAR,csi500
