date,portfolio_value,cash,positions,market_regime,cum_return,max_drawdown
2024-01-02,200000.0,86609.45103739998,9,BEAR,0.0,0.0
2024-01-03,198006.96403740003,86609.45103739998,9,BEAR,-0.009965179812999825,-0.009965179812999825
2024-01-04,198054.0200374,86609.45103739998,9,BEAR,-0.009729899812999987,-0.009729899812999987
2024-01-05,195684.05803739998,82287.52103739997,9,BEAR,-0.02157970981300006,-0.02157970981300006
2024-01-08,193337.6670374,82287.52103739997,9,BEAR,-0.033311664812999964,-0.033311664812999964
2024-01-09,193153.54203739995,82287.52103739997,9,BEAR,-0.034232289813000194,-0.034232289813000194
2024-01-10,192100.0061308,68389.03443619999,9,BEAR,-0.039499969345999975,-0.039499969345999975
2024-01-11,197014.96303619997,57363.85493619999,9,BEAR,-0.014925184819000181,-0.014925184819000181
2024-01-12,193686.6459362,57363.85493619999,9,BEAR,-0.031566770319000015,-0.031566770319000015
2024-01-15,195184.96793619997,57363.85493619999,9,BEAR,-0.024075160319000144,-0.024075160319000144
2024-01-16,196263.0319362,57363.85493619999,9,BEAR,-0.018684840319000084,-0.018684840319000084
2024-01-17,191035.5178762,42153.69022619999,9,BEAR,-0.04482241061900005,-0.04482241061900005
2024-01-18,192202.3018003,37363.395552300004,9,BEAR,-0.0389884909985001,-0.0389884909985001
2024-01-19,189732.12283930002,26566.794199000014,9,BEAR,-0.05133938580349995,-0.05133938580349995
2024-01-22,181925.64980749995,31298.720613000012,9,BEAR,-0.09037175096250027,-0.09037175096250027
2024-01-23,187289.30461300004,31298.720613000012,9,BEAR,-0.0635534769349998,-0.0635534769349998
2024-01-24,186072.99461300002,31298.720613000012,9,BEAR,-0.0696350269349999,-0.0696350269349999
2024-01-25,191494.197508,34880.74521640003,9,BEAR,-0.04252901245999996,-0.04252901245999996
2024-01-26,189412.7833759,36726.32809990003,9,BEAR,-0.05293608312050002,-0.05293608312050002
2024-01-29,182940.36919910004,37136.121873100026,9,BEAR,-0.0852981540044998,-0.0852981540044998
2024-01-30,179256.26227310003,38003.274453100035,9,BEAR,-0.10371868863449984,-0.10371868863449984
2024-01-31,174907.21937590002,56316.871330100024,9,BEAR,-0.12546390312049993,-0.12546390312049993
2024-02-01,176101.94133010003,56316.871330100024,9,BEAR,-0.1194902933494999,-0.1194902933494999
2024-02-02,169945.74833010003,56316.871330100024,9,BEAR,-0.15027125834949984,-0.15027125834949984
2024-02-05,163943.7740822,63214.384405200006,9,BEAR,-0.180281129589,-0.180281129589
2024-02-06,171710.22640520002,63214.384405200006,9,BEAR,-0.14144886797399991,-0.14144886797399991
2024-02-07,174244.41340519997,63214.384405200006,9,BEAR,-0.1287779329740001,-0.1287779329740001
2024-02-08,184507.0374052,63214.384405200006,9,BEAR,-0.07746481297399999,-0.07746481297399999
2024-02-19,188097.0644052,63214.384405200006,9,BEAR,-0.0595146779739999,-0.0595146779739999
2024-02-20,189439.31840520003,63214.384405200006,9,BEAR,-0.05280340797399985,-0.05280340797399985
2024-02-21,190602.1604052,63214.384405200006,9,BEAR,-0.04698919797400003,-0.04698919797400003
2024-02-22,195291.22940519996,63214.384405200006,9,BEAR,-0.02354385297400019,-0.02354385297400019
2024-02-23,197349.89740520003,63214.384405200006,9,BEAR,-0.013250512973999817,-0.013250512973999817
2024-02-26,199306.97340520003,63214.384405200006,9,BEAR,-0.0034651329739998626,-0.0034651329739998626
2024-02-27,207514.21940519998,63214.384405200006,9,BEAR,0.03757109702599992,0.0
2024-02-28,196718.23036770002,45443.7577363,9,BEAR,-0.0164088481614999,-0.05397994518749982
2024-02-29,210662.34273629996,43862.2834363,10,BULL,0.053311713681499784,0.0
2024-03-01,218874.78443629996,42351.9264651,11,BULL,0.09437392218149987,0.0
2024-03-04,221160.73246509998,42351.9264651,11,BULL,0.10580366232549987,0.0
2024-03-05,222465.84246510002,41079.5448651,12,BULL,0.1123292123255002,0.0
2024-03-06,213532.00586509999,41079.5448651,12,BULL,0.06766002932549986,-0.044669183000000334
2024-03-07,212305.4338651,41079.5448651,12,BULL,0.06152716932549995,-0.05080204300000024
2024-03-08,215620.1408651,39341.679661899994,13,BULL,0.07810070432549998,-0.03422850800000021
2024-03-11,220663.16566189998,39341.679661899994,13,BULL,0.10331582830949992,-0.00901338401600027
2024-03-12,236249.36066189996,39341.679661899994,13,BULL,0.18124680330949983,0.0
